chemical,salinity,replicate,spawn,sum
CTL,10,A,1,0
BIF,10,A,1,
CYF,10,A,1,
CYH,10,A,1,0.12
CTL,10,A,2,0.04
BIF,10,A,2,0
CYF,10,A,2,
CYH,10,A,2,0
CTL,10,A,3,0
BIF,10,A,3,0.08
CYF,10,A,3,0
CYH,10,A,3,0.24
CTL,10,A,4,0.04
BIF,10,A,4,0
CYF,10,A,4,0.08
CYH,10,A,4,0.04
CTL,10,A,5,
BIF,10,A,5,0.12
CYF,10,A,5,0
CYH,10,A,5,0.04
CTL,10,A,6,0
BIF,10,A,6,0.16
CYF,10,A,6,0
CYH,10,A,6,0
CTL,10,B,1,
BIF,10,B,1,0
CYF,10,B,1,
CYH,10,B,1,0
CTL,10,B,2,0
BIF,10,B,2,0
CYF,10,B,2,0
CYH,10,B,2,0
CTL,10,B,3,0
BIF,10,B,3,0
CYF,10,B,3,0.07
CYH,10,B,3,
CTL,10,B,4,1
BIF,10,B,4,0
CYF,10,B,4,0
CYH,10,B,4,2
CTL,10,B,5,
BIF,10,B,5,0
CYF,10,B,5,0.16
CYH,10,B,5,0
CTL,10,B,6,0
BIF,10,B,6,0
CYF,10,B,6,0.16
CYH,10,B,6,
CTL,10,C,1,
BIF,10,C,1,
CYF,10,C,1,
CYH,10,C,1,0
CTL,10,C,2,0
BIF,10,C,2,0
CYF,10,C,2,0
CYH,10,C,2,0
CTL,10,C,3,0.08
BIF,10,C,3,0
CYF,10,C,3,0
CYH,10,C,3,0.04
CTL,10,C,4,0.05
BIF,10,C,4,0.2
CYF,10,C,4,0.12
CYH,10,C,4,0.08
CTL,10,C,5,0
BIF,10,C,5,0
CYF,10,C,5,0
CYH,10,C,5,0
CTL,10,C,6,0
BIF,10,C,6,0
CYF,10,C,6,
CYH,10,C,6,
CTL,6,A,1,0.08
BIF,6,A,1,0.12
CYF,6,A,1,0
CYH,6,A,1,0
CTL,6,A,2,
BIF,6,A,2,0
CYF,6,A,2,
CYH,6,A,2,0
CTL,6,A,3,0
BIF,6,A,3,0.08
CYF,6,A,3,0
CYH,6,A,3,0
CTL,6,A,4,
BIF,6,A,4,0
CYF,6,A,4,0
CYH,6,A,4,
CTL,6,A,5,0
BIF,6,A,5,0.1
CYF,6,A,5,0
CYH,6,A,5,
CTL,6,A,6,0
BIF,6,A,6,
CYF,6,A,6,0
CYH,6,A,6,
CTL,6,B,1,0.04
BIF,6,B,1,0.24
CYF,6,B,1,0
CYH,6,B,1,0
CTL,6,B,2,0
BIF,6,B,2,0.36
CYF,6,B,2,0.12
CYH,6,B,2,0
CTL,6,B,3,0
BIF,6,B,3,0.04
CYF,6,B,3,0.12
CYH,6,B,3,0.2
CTL,6,B,4,
BIF,6,B,4,0.4
CYF,6,B,4,0
CYH,6,B,4,0
CTL,6,B,5,0
BIF,6,B,5,
CYF,6,B,5,0
CYH,6,B,5,0
CTL,6,B,6,0
BIF,6,B,6,
CYF,6,B,6,0
CYH,6,B,6,0
CTL,6,C,1,0
BIF,6,C,1,0.08
CYF,6,C,1,
CYH,6,C,1,0
CTL,6,C,2,0
BIF,6,C,2,0.04
CYF,6,C,2,0
CYH,6,C,2,0
CTL,6,C,3,0
BIF,6,C,3,0
CYF,6,C,3,0.12
CYH,6,C,3,0.166666667
CTL,6,C,4,0
BIF,6,C,4,0.16
CYF,6,C,4,0.16
CYH,6,C,4,
CTL,6,C,5,
BIF,6,C,5,0
CYF,6,C,5,0
CYH,6,C,5,
CTL,6,C,6,0
BIF,6,C,6,
CYF,6,C,6,
CYH,6,C,6,0