Chemical,Salinity,Sex,Value,Sex_ratio,,,
Bifenthrin,6,M,11,0.388888889,,F/total,
Bifenthrin,6,F,7,,,,
Cyfluthrin,6,M,8,0.466666667,,,
Cyfluthrin,6,F,7,,,,
Control,6,M,6,0.5,,,
Control,6,F,6,,,,
Cyhalothrin,6,M,7,0.5,,,
Cyhalothrin,6,F,7,,,,
Bifenthrin,6,M,8,0.428571429,,,
Bifenthrin,6,F,6,,,,
Cyfluthrin,6,M,9,0.307692308,,,
Cyfluthrin,6,F,4,,,,
Control,6,M,8,0.466666667,,,
Control,6,F,7,,,,
Cyhalothrin,6,M,8,0.428571429,,,
Cyhalothrin,6,F,6,,,,
Bifenthrin,6,M,7,0.5,,,
Bifenthrin,6,F,7,,,,
Cyfluthrin,6,M,6,0.25,,,
Cyfluthrin,6,F,2,,,,
Control,6,M,9,0.357142857,,,
Control,6,F,5,,,,
Cyhalothrin,6,M,6,0.571428571,,,
Cyhalothrin,6,F,8,,,,
Bifenthrin,10,M,11,0.5,,,
Bifenthrin,10,F,11,,,,
Cyfluthrin,10,M,6,0.4,,,
Cyfluthrin,10,F,4,,,,
Control,10,M,6,0.571428571,,,
Control,10,F,8,,,,
Cyhalothrin,10,M,5,0.615384615,,,
Cyhalothrin,10,F,8,,,,
Bifenthrin,10,M,2,0.833333333,,,
Bifenthrin,10,F,10,,,,
Cyfluthrin,10,M,6,0.538461538,,,
Cyfluthrin,10,F,7,,,,
Control,10,M,9,0.4375,,,
Control,10,F,7,,,,
Cyhalothrin,10,M,7,0.5,,,
Cyhalothrin,10,F,7,,,,
Bifenthrin,10,M,5,0.642857143,,,
Bifenthrin,10,F,9,,,,
Cyfluthrin,10,M,7,0.533333333,,,
Cyfluthrin,10,F,8,,,,
Control,10,M,10,0.375,,,
Control,10,F,6,,,,
Cyhalothrin,10,M,9,0.4375,,,
Cyhalothrin,10,F,7,,,,